Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-frg1,Session ID,Event Type,Reason,Block Number,Phase Name,Rule File,Episode Number,Move Number,Actor,Position ID,Stimulus ID,Reward,Repeat,Human Score,Agent Score,Human Total Score,Agent Total Score,Rewards Remaining,Completed Episodes
28,1784148195026,15/07/2026 20:43:15,1784148194936,-5,15/07/2026 15:43:14,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,4,human,16,3801,,,3,2,7,8,5,
29,1784148195743,15/07/2026 20:43:15,1784148195641,-5,15/07/2026 15:43:15,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,4,agent,12,3933,1,,3,3,7,9,4,
30,1784148197291,15/07/2026 20:43:17,1784148197204,-5,15/07/2026 15:43:17,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,5,human,6,5826,,,3,3,7,9,4,
31,1784148197997,15/07/2026 20:43:17,1784148197909,-5,15/07/2026 15:43:17,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,5,agent,19,233,,1,3,3,7,9,4,
32,1784148199625,15/07/2026 20:43:19,1784148199537,-5,15/07/2026 15:43:19,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,6,human,9,835,,,3,3,7,9,4,
33,1784148200343,15/07/2026 20:43:20,1784148200242,-5,15/07/2026 15:43:20,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,6,agent,14,3372,1,,3,4,7,10,3,
34,1784148201958,15/07/2026 20:43:21,1784148201868,-5,15/07/2026 15:43:21,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,6,human,13,4405,,1,3,4,7,10,3,
35,1784148202666,15/07/2026 20:43:22,1784148202571,-5,15/07/2026 15:43:22,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,6,agent,7,3385,1,,3,5,7,11,2,
36,1784148203419,15/07/2026 20:43:23,1784148203337,-5,15/07/2026 15:43:23,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,7,human,8,3139,,,3,5,7,11,2,
37,1784148204127,15/07/2026 20:43:24,1784148204039,-5,15/07/2026 15:43:24,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,7,agent,12,3933,,1,3,5,7,11,2,
38,1784148205128,15/07/2026 20:43:25,1784148205037,-5,15/07/2026 15:43:25,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,8,human,17,485,1,,4,5,8,11,1,
39,1784148205834,15/07/2026 20:43:25,1784148205741,-5,15/07/2026 15:43:25,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,8,agent,14,3372,,1,4,5,8,11,1,
